County,Precinct_ID,Ballots cast
APPLING,1b,783
APPLING,1c,540
APPLING,2,1164
APPLING,3a1,539
APPLING,3c,935
APPLING,4b,586
APPLING,4d,976
APPLING,5a,637
APPLING,5b,667
ATKINSON,pearson county,952
ATKINSON,axson,418
ATKINSON,willacoochee,738
ATKINSON,pearson city,419
BACON,douglas,3836
BAKER,anna,96
BAKER,elmodel,239
BAKER,hoggard mill,173
BAKER,milford,175
BAKER,newton,614
BALDWIN,south mill,664
BALDWIN,city hall annex,440
BALDWIN,boddie,618
BALDWIN,courthouse,258
BALDWIN,fire dept,824
BALDWIN,north mill,1410
BALDWIN,meriweather,1827
BALDWIN,east baldwin,2413
BALDWIN,scottsboro,584
BALDWIN,north baldwin,2344
BALDWIN,west baldwin,1179
BALDWIN,east hardwick,566
BALDWIN,west hardwick,1609
BALDWIN,coopers,954
BANKS,anderson,811
BANKS,baldwin,506
BANKS,berlin,211
BANKS,bushville,407
BANKS,columbia,245
BANKS,davids,943
BANKS,golden hill,477
BANKS,grove river,328
BANKS,hollingsworth,405
BANKS,homer,811
BANKS,poplar springs,952
BANKS,washington,405
BANKS,wilmonts,366
BARROW,1 bethlehem community center,1646
BARROW,2 bethlehem church - 211,2147
BARROW,3 bramlett elementary school,1549
BARROW,4 westside middle school,1297
BARROW,5 fire station 1 (statham),2651
BARROW,6 winder barrow high school,1179
BARROW,7 statham elementary school,1694
BARROW,8 first baptist church,1749
BARROW,9 lions club,1982
BARROW,10 leisure services center,1403
BARROW,11 apalachee high school,1839
BARROW,12 midway united methodist church,1465
BARROW,13 winder community center,1338
BARROW,14 cedar creek baptist church,664
BARROW,15 county line elementary school,1895
BARROW,16 the church at winder,2961
BARTOW,adairsville,3338
BARTOW,allatoona,1949
BARTOW,cartersville east,3351
BARTOW,cartersville west,4366
BARTOW,cassville,5598
BARTOW,center,2259
BARTOW,emerson,1589
BARTOW,euharlee,2775
BARTOW,folsom,786
BARTOW,kingston,1414
BARTOW,mission road,2166
BARTOW,pine log,1225
BARTOW,taylorsville,1561
BARTOW,white,1484
BARTOW,zena drive,2702
BARTOW,woodland high,878
Ben_Hill,east,2080
Ben_Hill,west,3485
BERRIEN,west berrien,654
BERRIEN,ray city,981
BERRIEN,nashville,3359
BERRIEN,enigma,574
BERRIEN,alapaha,697
BIBB,east macon 1,861
BIBB,east macon 2,2118
BIBB,east macon 3,1819
BIBB,east macon 4,1245
BIBB,east macon 5,1412
BIBB,godfrey 1,2945
BIBB,godfrey 2,750
BIBB,godfrey 3,1529
BIBB,godfrey 4,911
BIBB,godfrey 5,2380
BIBB,hazzard 1,1729
BIBB,hazzard 2,2386
BIBB,hazzard 3,3783
BIBB,hazzard 4,1469
