county,precinctID,precinctname
BAKER,H,HOGGARDS MILL
BALDWIN,CTY6,NORTH MILLEDGEVILLE
BALDWIN,CTY1,SOUTH MILLEDGEVILLE
BARROW,11,APALACHEE HIGH
BARROW,2,BETHLEHEM CHURCH
BARROW,1,BETHLEHEM COMMUNITY CENTER
BARROW,3,BRAMLETT ELEMENTARY
BARROW,14,CEDAR CREEK BAPTIST
BARROW,15,COUNTY LINE ELEMENTARY SCHOOL
BARROW,5,FIRE STATION 1
BARROW,8,FIRST BAPTIST CHURCH
BARROW,10,LEISURE SERVICES CENTER
BARROW,9,LIONS CLUB
BARROW,12,MIDWAY UNITED METHODIST CHURCH
BARROW,7,STATHAM ELEMENTARY
BARROW,16,THE CHURCH AT WINDER
BARROW,4,WESTSIDE MIDDLE
BARROW,6,WINDER BARROW HIGH SCHOOL
BARROW,13,WINDER COMMUNITY CENTER
BARTOW,18,WOODLAND HIGH
BEN HILL,1,EAST
BEN HILL,2,WEST
BLECKLEY,1,FAIRGROUND
BRYAN,6,J.F.GREGORY PARK
BRYAN,9,PUBLIC SAFETY COMPLEX
BRYAN,5,RH RECREATION COMPLEX
BUTTS,BCAB,BUTTS COUNTY ADMIN
CANDLER,1736,CANDLER
CANDLER,1685,METTER
CARROLL,501,BETHANY
CARROLL,714A3,BONNER
CARROLL,1111,BOWDON
CARROLL,1496,BOWDON JUNCTION
CARROLL,714BN,BURSON CENTER
CARROLL,1371,BURWELL
CARROLL,1152,CENTER POINT
CARROLL,1483,CLEM
CARROLL,714A5,COUNTY ADMIN BLDG
CARROLL,1540,FAIRFIELD
CARROLL,1542,HULETT
CARROLL,1006,KANSAS
CARROLL,714A2,LAKESHORE REC CENTER
CARROLL,1240,MT ZION
CARROLL,715,OAK GROVE
CARROLL,714BW,OLD CAMP CHURCH
CARROLL,713,ROOPVILLE
CARROLL,1122,SANDHILL
CARROLL,714A6,TABERNACLE CHURCH
CARROLL,650,TEMPLE CITY
CARROLL,649,TEMPLE COUNTY
CARROLL,1533,TYUS
CARROLL,714A4,UNIVERSITY OF W. GA
CARROLL,641,V R COUNTY NORTH
CARROLL,640,V R COUNTY SOUTH
CARROLL,642,VILLA RICA CITY
CARROLL,714A1,WEST CARROLLTON
CARROLL,682,WHITESBURG
CATOOSA,FT O,FORT OGLETHORPE
CHARLTON,5F,FOLKSTON FIRE STATION
CHATHAM,3-05C,ALDERSGATE YOUTH CENTER
CHATHAM,6-11C,BAMBOO FARMS
CHATHAM,5-01C,BARTLETT MIDDLE
CHATHAM,8-12C,BEACH HIGH SCHOOL
CHATHAM,3-10C,BIBLE BAPTIST CHURCH
CHATHAM,2-02C,BLACKSHEAR COMM CTR
CHATHAM,7-08C,BLOOMINGDALE COM CTR
CHATHAM,8-11C,BUTLER ELEMENTARY
CHATHAM,5-03C,BUTLER PRESBYTERIAN
CHATHAM,8-10C,CARVER HEIGHTS COMM
CHATHAM,1-06C,CENTRAL CHURCH OF CHRIST
CHATHAM,2-07C,CHRIST COMMUNITY CHURCH
