county,precinct,cleanedprecinct,cleanedprecinctID
BAKER,Hoggard Mill,HOGGARDS MILL,H
BALDWIN,South Mill,NORTH MILLEDGEVILLE,CTY6
BALDWIN,North Mill,SOUTH MILLEDGEVILLE,CTY1
BARROW,11 Apalachee High School,APALACHEE HIGH SCHOOL,11
BARROW,02 Bethlehem Church - 211,BETHLEHEM CHURCH,2
BARROW,01 Bethlehem Community Center,BETHLEHEM COMMUNITY CENTER,1
BARROW,03 Bramlett Elementary School,BRAMLETT ELEMENTARY SCHOOL,3
BARROW,14 Cedar Creek Baptist Church,CEDAR CREEK BAPTIST CHURCH,14
BARROW,15 County Line Elementary School,COUNTY LINE ELEMENTARY SCHOOL,15
BARROW,05 Fire Station 1 (Statham),FIRE STATION 1,5
BARROW,08 First Baptist Church,FIRST BAPTIST CHURCH,8
BARROW,10 Leisure Services Center,LEISURE SERVICES CENTER,10
BARROW,09 Lions Club,LIONS CLUB,9
BARROW,12 Midway United Methodist Church,MIDWAY UNITED METHODIST CHURCH,12
BARROW,07 Statham Elementary School,STATHAM ELEMENTARY SCHOOL,7
BARROW,16 The Church at Winder,THE CHURCH AT WINDER,16
BARROW,04 Westside Middle School,WESTSIDE MIDDLE SCHOOL,4
BARROW,06 Winder Barrow High School,WINDER BARROW HIGH SCHOOL,6
BARROW,13 Winder Community Center,WINDER COMMUNITY CENTER,13
BARTOW,WOODLAND HIGH,WOODLAND HIGH,18
BEN HILL,East,EAST,1
BEN HILL,West,WEST,2
BLECKLEY,FAIRGROUND,FAIRGROUND,1
BRYAN,J.F. Gregory Park,J.F. GREGORY PARK,6
BRYAN,Public Safety Complex,PUBLIC SAFETY COMPLEX,9
BRYAN,RH Rec Complex,RH RECREATION COMPLEX,5
BUTTS,BUTTS CO ADMIN BLDG,BUTTS COUNTY ADMIN,BCAB
CANDLER,Candler-1736,CANDLER,1736
CANDLER,Metter -1685,METTER,1685
CARROLL,BETHANY (501),BETHANY,501
CARROLL,BONNER (714A3),BONNER,714A3
CARROLL,BOWDON (1111),BOWDON,1111
CARROLL,BOWDON JUNCTION (1496),BOWDON JUNCTION,1496
CARROLL,BURSON (714BN),BURSON CENTER,714BN
CARROLL,BURWELL (1371),BURWELL,1371
CARROLL,CENTER POINT (1152),CENTER POINT,1152
CARROLL,CLEM (1483),CLEM,1483
CARROLL,COUNTY ADMIN BLDG (714A5),COUNTY ADMIN BLDG,714A5
CARROLL,FAIRFIELD (1540),FAIRFIELD,1540
CARROLL,HULETT (1542),HULETT,1542
CARROLL,KANSAS (1006),KANSAS,1006
CARROLL,LAKESHORE REC (714A2),LAKESHORE REC CENTER,714A2
CARROLL,MT ZION (1240),MT ZION,1240
CARROLL,OAK GROVE (715),OAK GROVE,715
CARROLL,OLD CAMP CHURCH (714BW),OLD CAMP CHURCH,714BW
