County,Ballots cast
Appling,6827
Atkinson,2527
Bacon,3836
Baker,1297
Baldwin,15690
Banks,6867
Barrow,27459
Bartow,37441
Ben Hill,5565
Berrien,6265
Bibb,60867
Bleckley,4872
Brantley,5711
Brooks,5749
Bryan,15019
Bulloch,23746
Burke,8758
Butts,8892
Calhoun,1912
Camden,17119
Candler,3549
Carroll,41959
Catoosa,23836
Charlton,3391
Chatham,103841
Chattahoochee,1107
Chattooga,7464
Cherokee,106632
Clarke,43450
Clay,1191
Clayton,92403
Clinch,2268
Cobb,312488
Coffee,12669
Colquitt,13001
Columbia,61779
Cook,5816
Coweta,58194
Crawford,4953
Crisp,7082
Dade,5478
Dawson,11606
Decatur,9172
DeKalb,313552
Dodge,7079
Dooly,3811
Dougherty,31537
Douglas,55358
Early,4159
Echols,1146
Effingham,23426
Elbert,7418
Emanuel,7751
Evans,3461
Fannin,11250
Fayette,58118
Floyd,30440
Forsyth,93526
Franklin,8171
Fulton,425139
Gilmer,12554
Glascock,1304
Glynn,32767
Gordon,17858
Grady,8398
Greene,9025
Gwinnett,315815
Habersham,15540
Hall,67582
Hancock,3554
Haralson,10612
Harris,16019
Hart,9666
Heard,4065
Henry,98743
Houston,59370
Irwin,3569
Jackson,26950
Jasper,5949
Jeff Davis,4830
Jefferson,6789
Jenkins,2889
Johnson,3489
Jones,12469
Lamar,7373
Lanier,2689
Laurens,18998
Lee,13571
Liberty,15404
Lincoln,3983
Long,4007
Lowndes,35817
Lumpkin,11587
Macon,4244
Madison,11724
Marion,2935
McDuffie,8819
McIntosh,5425
Meriwether,8678
Miller,2322
Mitchell,7470
Monroe,12987
Montgomery,3535
Morgan,9580
Murray,11114
Muscogee,63451
Newton,43213
Oconee,20796
Oglethorpe,6500
Paulding,61399
Peach,10472
Pickens,13394
Pierce,6897
Pike,8561
Polk,12901
Pulaski,3635
Putnam,9363
Quitman,951
Rabun,7605
Randolph,2805
Richmond,70360
Rockdale,36731
Schley,1937
Screven,5438
Seminole,3248
Spalding,24471
Stephens,9118
Stewart,1829
Sumter,10594
Talbot,2962
Taliaferro,938
Tattnall,6663
Taylor,3301
Telfair,3650
Terrell,3951
Thomas,17297
Tift,13702
Toombs,8887
Towns,6167
Treutlen,2621
Troup,23977
Turner,3285
Twiggs,3807
Union,11912
Upson,10602
Walker,21574
Walton,38771
Ware,11064
Warren,2273
Washington,8200
Wayne,10158
Webster,1102
Wheeler,1942
White,11479
Whitfield,27432
Wilcox,2824
Wilkes,4394
Wilkinson,4276
Worth,7867
