County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
GLYNN,1713,sterling elementary,206,100,264,165,0,0,1537,913,1672,990,3,2,23,5,26,11,0,0,36,10,42,10,0,0,7,2,2,0,0,0,12,4,19,7,0,0,218,79,214,80,2,1,4283,2379
GLYNN,1923,marshes of glynn,251,134,273,180,1,0,1068,608,1203,692,1,0,4,2,11,3,0,0,15,10,22,9,0,0,5,4,2,0,0,0,15,7,16,9,0,0,150,57,154,56,1,1,3192,1772
GLYNN,1933,satilla marsh school,132,76,198,116,1,0,1003,601,1025,608,3,2,11,5,15,8,0,0,18,9,20,9,0,0,3,0,3,1,0,0,9,3,14,7,0,0,127,59,142,70,0,0,2724,1574
GLYNN,1943,blythe island baptist ,52,26,81,46,0,0,971,604,1054,680,0,0,7,4,6,3,0,0,12,2,14,3,0,0,1,0,4,3,0,0,8,3,8,2,0,0,102,35,102,38,1,1,2423,1450
GLYNN,2713,christian renewal,18,8,15,8,0,0,1478,1038,1749,1219,2,0,4,1,9,3,0,0,14,8,12,6,0,0,3,3,0,0,0,0,8,6,12,6,0,0,148,76,208,127,5,3,3685,2512
GLYNN,2923,oglethorpe point,37,16,35,26,0,0,1061,761,1218,866,3,3,7,3,15,10,0,0,10,3,14,7,0,0,2,0,0,0,0,0,9,5,9,5,0,0,120,73,110,73,1,1,2651,1852
GLYNN,2933,st williams church,35,10,29,19,0,0,1716,1175,2169,1521,2,0,6,3,17,10,0,0,18,9,24,11,0,0,1,1,1,1,0,0,11,4,13,7,0,0,199,111,181,93,1,0,4423,2975
GLYNN,2943,first baptist,50,19,60,38,0,0,1680,1157,2152,1472,7,5,9,6,15,5,0,0,15,6,17,7,1,1,2,1,1,0,0,0,8,6,9,6,0,0,185,92,204,101,3,3,4418,2925
GLYNN,2953,jekyll island,3,1,1,0,0,0,305,223,360,254,0,0,0,0,1,1,0,0,3,1,5,1,0,0,0,0,0,0,0,0,1,1,4,2,0,0,43,20,41,27,0,0,767,531
GLYNN,3713,sterling ch. of god,256,125,340,194,0,0,1171,569,1445,679,1,0,19,4,27,8,0,0,51,16,46,11,0,0,1,0,3,0,0,0,16,5,18,6,0,0,212,60,205,67,3,2,3814,1746
