County,Vote type,Total ballots,Contest,Ballots cast,Undervotes
Appling,Absentee by Mail,306,Lieutenant Governor,302,4
Appling,Advance in Person,976,Lieutenant Governor,970,6
Appling,Election Day,3122,Lieutenant Governor,3073,49
Appling,Provisional,4,Lieutenant Governor,4,0
Atkinson,Absentee by Mail,68,Lieutenant Governor,66,2
Atkinson,Advance in Person,495,Lieutenant Governor,473,22
Atkinson,Election Day,1058,Lieutenant Governor,1010,48
Atkinson,Provisional,7,Lieutenant Governor,7,0
Bacon,Absentee by Mail,73,Lieutenant Governor,73,0
Bacon,Advance in Person,887,Lieutenant Governor,864,23
Bacon,Election Day,1240,Lieutenant Governor,1226,14
Bacon,Provisional,3,Lieutenant Governor,3,0
Baker,Absentee by Mail,71,Lieutenant Governor,68,3
Baker,Advance in Person,298,Lieutenant Governor,290,8
Baker,Election Day,617,Lieutenant Governor,596,21
Baker,Provisional,3,Lieutenant Governor,3,0
Baldwin,Absentee by Mail,409,Lieutenant Governor,407,2
Baldwin,Advance in Person,3933,Lieutenant Governor,3892,41
Baldwin,Election Day,6152,Lieutenant Governor,6115,37
Baldwin,Provisional,9,Lieutenant Governor,9,0
Banks,Absentee by Mail,142,Lieutenant Governor,140,2
Banks,Advance in Person,852,Lieutenant Governor,846,6
Banks,Election Day,3339,Lieutenant Governor,3312,27
Banks,Provisional,1,Lieutenant Governor,1,0
Barrow,Absentee by Mail,701,Lieutenant Governor,693,8
Barrow,Advance in Person,4720,Lieutenant Governor,4717,3
Barrow,Election Day,10688,Lieutenant Governor,10637,51
Barrow,Provisional,8,Lieutenant Governor,7,1
Bartow,Absentee by Mail,772,Lieutenant Governor,770,2
Bartow,Advance in Person,5826,Lieutenant Governor,5807,19
Bartow,Election Day,16152,Lieutenant Governor,16036,116
Bartow,Provisional,20,Lieutenant Governor,19,1
Ben Hill,Absentee by Mail,136,Lieutenant Governor,135,1
Ben Hill,Advance in Person,1494,Lieutenant Governor,1463,31
Ben Hill,Election Day,1864,Lieutenant Governor,1858,6
Ben Hill,Provisional,3,Lieutenant Governor,3,0
Berrien,Absentee by Mail,212,Lieutenant Governor,211,1
Berrien,Advance in Person,1103,Lieutenant Governor,1087,16
Berrien,Election Day,2608,Lieutenant Governor,2591,17
Berrien,Provisional,8,Lieutenant Governor,8,0
Bibb,Absentee by Mail,2189,Lieutenant Governor,2166,23
Bibb,Advance in Person,10315,Lieutenant Governor,10157,158
