Contest,Candidate,Vote type,County,Ballots cast
Governor,BRIAN KEMP  (REP),Election Day,Appling,2334
Governor,BRIAN KEMP  (REP),Election Day,Atkinson,808
Governor,BRIAN KEMP  (REP),Election Day,Bacon,609
Governor,BRIAN KEMP  (REP),Election Day,Baker,409
Governor,BRIAN KEMP  (REP),Election Day,Baldwin,3054
Governor,BRIAN KEMP  (REP),Election Day,Banks,3471
Governor,BRIAN KEMP  (REP),Election Day,Barrow,10278
Governor,BRIAN KEMP  (REP),Election Day,Bartow,15129
Governor,BRIAN KEMP  (REP),Election Day,Ben Hill,931
Governor,BRIAN KEMP  (REP),Election Day,Berrien,2299
Governor,BRIAN KEMP  (REP),Election Day,Bibb,14025
Governor,BRIAN KEMP  (REP),Election Day,Bleckley,1342
Governor,BRIAN KEMP  (REP),Election Day,Brantley,2405
Governor,BRIAN KEMP  (REP),Election Day,Brooks,1799
Governor,BRIAN KEMP  (REP),Election Day,Bryan,4253
Governor,BRIAN KEMP  (REP),Election Day,Bulloch,7583
Governor,BRIAN KEMP  (REP),Election Day,Burke,2310
Governor,BRIAN KEMP  (REP),Election Day,Butts,1412
Governor,BRIAN KEMP  (REP),Election Day,Calhoun,430
Governor,BRIAN KEMP  (REP),Election Day,Camden,5265
Governor,BRIAN KEMP  (REP),Election Day,Candler,687
Governor,BRIAN KEMP  (REP),Election Day,Carroll,14544
Governor,BRIAN KEMP  (REP),Election Day,Catoosa,7481
Governor,BRIAN KEMP  (REP),Election Day,Charlton,1243
Governor,BRIAN KEMP  (REP),Election Day,Chatham,28456
Governor,BRIAN KEMP  (REP),Election Day,Chattahoochee,337
Governor,BRIAN KEMP  (REP),Election Day,Chattooga,3035
Governor,BRIAN KEMP  (REP),Election Day,Cherokee,37596
Governor,BRIAN KEMP  (REP),Election Day,Clarke,6627
Governor,BRIAN KEMP  (REP),Election Day,Clay,156
Governor,BRIAN KEMP  (REP),Election Day,Clayton,4382
Governor,BRIAN KEMP  (REP),Election Day,Clinch,638
Governor,BRIAN KEMP  (REP),Election Day,Cobb,84398
Governor,BRIAN KEMP  (REP),Election Day,Coffee,2946
Governor,BRIAN KEMP  (REP),Election Day,Colquitt,4831
Governor,BRIAN KEMP  (REP),Election Day,Columbia,19711
Governor,BRIAN KEMP  (REP),Election Day,Cook,1625
