Contest,Machine,Candidate,Party,Votes
Governor,0,B. KEMP (R),R,40
Governor,0,S. ABRAMS (D),D,73
Governor,0,T. METZ (L),L,4
Governor,0,Write-in,W,0
Governor,1,B. KEMP (R),R,51
Governor,1,S. ABRAMS (D),D,79
Governor,1,T. METZ (L),L,3
Governor,1,Write-in,W,0
Governor,2,B. KEMP (R),R,60
Governor,2,S. ABRAMS (D),D,67
Governor,2,T. METZ (L),L,2
Governor,2,Write-in,W,0
Governor,3,B. KEMP (R),R,68
Governor,3,S. ABRAMS (D),D,59
Governor,3,T. METZ (L),L,4
Governor,3,Write-in,W,0
Governor,4,B. KEMP (R),R,65
Governor,4,S. ABRAMS (D),D,67
Governor,4,T. METZ (L),L,3
Governor,4,Write-in,W,0
Governor,5,B. KEMP (R),R,65
Governor,5,S. ABRAMS (D),D,78
Governor,5,T. METZ (L),L,0
Governor,5,Write-in,W,0
Governor,6,B. KEMP (R),R,51
Governor,6,S. ABRAMS (D),D,82
Governor,6,T. METZ (L),L,1
Governor,6,Write-in,W,0
Lt Governor,0,G. DUNCAN (R),R,43
Lt Governor,0,S. R. AMICO (D),D,71
Lt Governor,0,Write-in,W,0
Lt Governor,1,G. DUNCAN (R),R,52
Lt Governor,1,S. R. AMICO (D),D,71
Lt Governor,1,Write-in,W,0
Lt Governor,2,G. DUNCAN (R),R,57
Lt Governor,2,S. R. AMICO (D),D,64
Lt Governor,2,Write-in,W,1
Lt Governor,3,G. DUNCAN (R),R,70
Lt Governor,3,S. R. AMICO (D),D,54
Lt Governor,3,Write-in,W,0
Lt Governor,4,G. DUNCAN (R),R,61
Lt Governor,4,S. R. AMICO (D),D,68
Lt Governor,4,Write-in,W,0
Lt Governor,5,G. DUNCAN (R),R,60
Lt Governor,5,S. R. AMICO (D),D,75
Lt Governor,5,Write-in,W,0
Lt Governor,6,G. DUNCAN (R),R,50
Lt Governor,6,S. R. AMICO (D),D,76
Lt Governor,6,Write-in,W,0
Secretary of State,0,B. RAFFENSPERGER (R),R,40
Secretary of State,0,J. BARROW (D),D,70
Secretary of State,0,S. DUVAL (L),L,5
Secretary of State,0,Write-in,W,0
Secretary of State,1,B. RAFFENSPERGER (R),R,49
Secretary of State,1,J. BARROW (D),D,78
Secretary of State,1,S. DUVAL (L),L,5
Secretary of State,1,Write-in,W,0
Secretary of State,2,B. RAFFENSPERGER (R),R,55
Secretary of State,2,J. BARROW (D),D,67
Secretary of State,2,S. DUVAL (L),L,8
Secretary of State,2,Write-in,W,0
Secretary of State,3,B. RAFFENSPERGER (R),R,66
Secretary of State,3,J. BARROW (D),D,58
Secretary of State,3,S. DUVAL (L),L,5
Secretary of State,3,Write-in,W,0
Secretary of State,4,B. RAFFENSPERGER (R),R,57
Secretary of State,4,J. BARROW (D),D,70
Secretary of State,4,S. DUVAL (L),L,7
Secretary of State,4,Write-in,W,0
Secretary of State,5,B. RAFFENSPERGER (R),R,52
Secretary of State,5,J. BARROW (D),D,88
Secretary of State,5,S. DUVAL (L),L,2
Secretary of State,5,Write-in,W,0
Secretary of State,6,B. RAFFENSPERGER (R),R,46
Secretary of State,6,J. BARROW (D),D,80
Secretary of State,6,S. DUVAL (L),L,5
Secretary of State,6,Write-in,W,0
Attorney General,0,C. CARR (I) R,R,44
Attorney General,0,C. BAILEY (D),D,71
Attorney General,0,Write-in,W,0
Attorney General,1,C. CARR (I) R,R,53
Attorney General,1,C. BAILEY (D),D,75
Attorney General,1,Write-in,W,0
Attorney General,2,C. CARR (I) R,R,59
Attorney General,2,C. BAILEY (D),D,69
Attorney General,2,Write-in,W,0
Attorney General,3,C. CARR (I) R,R,66
Attorney General,3,C. BAILEY (D),D,62
Attorney General,3,Write-in,W,0
Attorney General,4,C. CARR (I) R,R,58
Attorney General,4,C. BAILEY (D),D,74
Attorney General,4,Write-in,W,0
Attorney General,5,C. CARR (I) R,R,59
Attorney General,5,C. BAILEY (D),D,79
Attorney General,5,Write-in,W,0
Attorney General,6,C. CARR (I) R,R,51
Attorney General,6,C. BAILEY (D),D,79
Attorney General,6,Write-in,W,0
Commissioner of Agriculture,0,G. BLACK (I) R,R,45
Commissioner of Agriculture,0,F. SWANN (D),D,68
Commissioner of Agriculture,0,Write-in,W,0
Commissioner of Agriculture,1,G. BLACK (I) R,R,58
Commissioner of Agriculture,1,F. SWANN (D),D,71
Commissioner of Agriculture,1,Write-in,W,0
Commissioner of Agriculture,2,G. BLACK (I) R,R,60
Commissioner of Agriculture,2,F. SWANN (D),D,66
Commissioner of Agriculture,2,Write-in,W,0
Commissioner of Agriculture,3,G. BLACK (I) R,R,75
Commissioner of Agriculture,3,F. SWANN (D),D,54
Commissioner of Agriculture,3,Write-in,W,0
Commissioner of Agriculture,4,G. BLACK (I) R,R,64
Commissioner of Agriculture,4,F. SWANN (D),D,66
Commissioner of Agriculture,4,Write-in,W,0
Commissioner of Agriculture,5,G. BLACK (I) R,R,66
